iter	Logloss
416	0.3481240427
417	0.3479846972
418	0.3479242683
419	0.3478794876
420	0.3477003612
421	0.3475154681
422	0.3473972994
423	0.3472388438
424	0.3471489242
425	0.3469994867
426	0.3469195164
427	0.3467506893
428	0.3466049689
429	0.3465687583
430	0.3464838569
431	0.3463960877
432	0.3461574811
433	0.3460602802
434	0.3459493921
435	0.3458435993
436	0.3456458398
437	0.3455632635
438	0.3454121368
439	0.3453613223
440	0.3453296313
441	0.3452346215
442	0.3451072121
443	0.3450550531
444	0.3449840641
445	0.3447841925
446	0.3446598541
447	0.3445598516
448	0.3444457433
449	0.344326466
450	0.3442618256
451	0.3441297599
452	0.34401386
453	0.3439418989
454	0.3438773511
455	0.3438541848
456	0.3437698766
457	0.3436600879
458	0.3435284698
459	0.3434123122
460	0.3432852444
461	0.343231696
462	0.3431408139
463	0.3430529896
464	0.3429923459
465	0.342976212
466	0.3429017684
467	0.3428146796
468	0.34275864
469	0.3426258271
470	0.3425924496
471	0.3425337962
472	0.3423873819
473	0.3422726942
474	0.3422589503
475	0.3420998519
476	0.341913378
477	0.341825011
478	0.341788148
479	0.3417169622
480	0.3417042092
481	0.341654342
482	0.3415951851
483	0.3414808956
484	0.3414328997
485	0.3414066046
486	0.3412712431
487	0.341239762
488	0.3411479299
489	0.3410449493
490	0.3409400459
491	0.3408637047
492	0.3408192271
493	0.340698988
494	0.3405172741
495	0.3404740263
496	0.3404346591
497	0.3403914376
498	0.3403147217
499	0.3401904582
500	0.3400915236
501	0.3400913555
502	0.3399819777
503	0.3399699248
504	0.3398814042
505	0.3398512182
506	0.3397385973
507	0.3396977333
508	0.3396180435
509	0.3394890013
510	0.3393426602
511	0.3392251541
512	0.3391795011
513	0.3391412259
514	0.3391013281
515	0.3389766754
516	0.3389701763
517	0.3389143557
518	0.3389011
519	0.3388512187
520	0.3386330154
521	0.3385645794
522	0.3383963489
523	0.3383933958
524	0.3383673773
525	0.3382183891
526	0.3381606781
527	0.3380734907
528	0.3380653179
529	0.3380188564
530	0.3380168587
531	0.3379723236
532	0.3378363549
533	0.3378323479
534	0.3377968333
535	0.3377588485
536	0.3376966781
537	0.3375701921
538	0.3375429077
539	0.3373907193
540	0.3373511286
541	0.3372343331
542	0.337089116
543	0.3369725981
544	0.3369293974
545	0.3369221119
546	0.3368059558
547	0.3366290746
548	0.3365862538
549	0.3365831813
550	0.3365533231
551	0.336409077
552	0.3363548277
553	0.3362197381
554	0.3361163765
555	0.3360368854
556	0.3359138057
557	0.3358591915
558	0.3358541681
559	0.3358075293
560	0.3357152836
561	0.3356650324
562	0.335599698
563	0.3355638098
564	0.3355243589
565	0.3354827717
566	0.3354820684
567	0.3353648105
568	0.3353389923
569	0.3352418383
570	0.3351883629
571	0.3350666398
572	0.3349806701
573	0.3349204447
574	0.3348395064
575	0.3348296733
576	0.3346988086
577	0.3346557056
578	0.3345297588
579	0.3344729834
580	0.3343887743
581	0.3343337774
582	0.334207545
583	0.3341861031
584	0.3341391913
585	0.3340194336
586	0.3339678204
587	0.3338834251
588	0.3338085748
589	0.3338035839
590	0.3336759729
591	0.3336125956
592	0.3335257469
593	0.3334344497
594	0.3334203345
595	0.3333993365
596	0.3332551961
597	0.3331799091
598	0.333178303
599	0.333103508
600	0.3330304725
601	0.3329658335
602	0.3329450682
603	0.3328646935
604	0.3328643299
605	0.3328185011
606	0.3326919872
607	0.3325750714
608	0.3325531745
609	0.3324279702
610	0.332333737
611	0.332276666
612	0.3321632263
613	0.3321030982
614	0.3320278305
615	0.3320033312
616	0.3320009184
617	0.3319633359
618	0.3318605106
619	0.3317664512
620	0.3317232538
621	0.3316785462
622	0.3316070687
623	0.3315002523
624	0.3314302015
625	0.3313659657
626	0.3313371613
627	0.3312893651
628	0.3312287907
629	0.3311855984
630	0.3311155458
631	0.3310540861
632	0.3309911967
633	0.3309282812
634	0.3309020245
635	0.3307899456
636	0.3306845498
637	0.3306307145
638	0.3305761481
639	0.3305347032
640	0.3304869133
641	0.3303871702
642	0.3303277447
643	0.3302981801
644	0.3302064111
645	0.3301771181
646	0.3301356899
647	0.3301298104
648	0.3299908354
649	0.3299803771
650	0.3298832918
651	0.3298196356
652	0.3297955962
653	0.3297436952
654	0.3296918683
655	0.3295610823
656	0.3295610209
657	0.3294727555
658	0.3294009802
659	0.3293191208
660	0.329277043
661	0.329208698
662	0.3290878648
663	0.3289894855
664	0.3289074554
665	0.3288718332
666	0.3288207793
667	0.3287894732
668	0.3286446317
669	0.3285775924
670	0.3284953275
671	0.3284216193
672	0.328314449
673	0.3282928666
674	0.328245703
675	0.3282084417
676	0.3281552765
677	0.3280641238
678	0.328059973
679	0.32796239
680	0.3279535526
681	0.3278891775
682	0.3277388084
683	0.3277228251
684	0.3277014762
685	0.327618404
686	0.3275218925
687	0.327463082
688	0.3274190084
689	0.3274187965
690	0.3273500753
691	0.3272720264
692	0.3272211771
693	0.3271038426
694	0.3270374502
695	0.3270064056
696	0.3269379317
697	0.3267891823
698	0.3267375091
699	0.3266759885
700	0.3266318982
701	0.3265706101
702	0.3264891533
703	0.326381284
704	0.3263409201
705	0.3261995193
706	0.3261085224
707	0.3260588403
708	0.3259436691
709	0.3259021325
710	0.325841745
711	0.3257344359
712	0.3257298838
713	0.3257034833
714	0.3256894475
715	0.3256526241
716	0.325640165
717	0.325612272
718	0.3255699159
719	0.3255076059
720	0.3254069235
721	0.3253452004
722	0.3252689924
723	0.325230176
724	0.3251989559
725	0.3251342454
726	0.3250712317
727	0.3249802528
728	0.3249563544
729	0.3249300326
730	0.3248491376
731	0.3248050332
732	0.3247297354
733	0.3246715439
734	0.3245781063
735	0.3245371078
736	0.3244418489
737	0.3243821729
738	0.3243676854
739	0.3242770941
740	0.3241215335
741	0.3240042895
742	0.3239757932
743	0.3238694078
744	0.3237935223
745	0.3237147029
746	0.3236566062
747	0.3235481823
748	0.3234606086
749	0.3233660922
750	0.3233480216
751	0.3233264975
752	0.3232795638
753	0.32321293
754	0.3231435263
755	0.323054537
756	0.3230133201
757	0.3229810549
758	0.3228830618
759	0.3228793918
760	0.3228301046
761	0.3227854671
762	0.3227311214
763	0.322622363
764	0.3225798981
765	0.3225249005
766	0.3224596846
767	0.3223434284
768	0.3222821348
769	0.3220765712
770	0.3219589066
771	0.3218665249
772	0.3218540904
773	0.3217999852
774	0.321725687
775	0.3216968057
776	0.3216498076
777	0.321602299
778	0.3215631112
779	0.3215053574
780	0.3214721865
781	0.3214290767
782	0.3213704329
783	0.3213482395
784	0.3212818629
785	0.3212022011
786	0.3211417458
787	0.321105244
788	0.3210549896
789	0.320992672
790	0.3209390339
791	0.3208285549
792	0.3207492091
793	0.3206956093
794	0.3206235394
795	0.3205910733
796	0.3205122641
797	0.3204533982
798	0.3204211085
799	0.3204004997
800	0.3203861956
801	0.3203289397
802	0.3202874614
803	0.3201433595
804	0.3200962617
805	0.3200417921
806	0.3199666718
807	0.3198873616
808	0.3198299618
809	0.3197460528
810	0.3197210817
811	0.3196753135
812	0.3196228734
813	0.3196033327
814	0.3195523966
815	0.3194599749
816	0.3194136936
817	0.3193380304
818	0.3192351333
819	0.3191928788
820	0.3191392793
821	0.3190832131
822	0.3190259799
823	0.3189369448
824	0.3189245549
825	0.3187877765
826	0.3187560054
827	0.3187227619
828	0.3186445136
829	0.3186204411
830	0.31853454
831	0.3184862435
832	0.3184484794
833	0.3183943169
834	0.3183556871
835	0.3183191636
836	0.318285996
837	0.3182746821
838	0.3182316788
839	0.3181030619
840	0.3180818384
841	0.3179781641
842	0.3178996218
843	0.3178402406
844	0.3178194505
845	0.3177990956
846	0.3177659045
847	0.3176400604
848	0.3175218925
849	0.3175127285
850	0.3174890337
851	0.3174031496
852	0.3173294781
853	0.3172813315
854	0.3172330275
855	0.3171629426
856	0.3171461265
857	0.317040864
858	0.3169712256
859	0.3168774824
860	0.3168149554
861	0.3167900176
862	0.3167053819
863	0.3166533682
864	0.3166117276
865	0.316592545
866	0.3165158767
867	0.3164579252
868	0.3164007418
869	0.3163384009
870	0.316277842
871	0.316250039
872	0.3161584954
873	0.3161201376
874	0.3160449982
875	0.3160249586
876	0.316000724
877	0.3159791017
878	0.3159475761
879	0.3158945549
880	0.3157870019
881	0.315744361
882	0.3156677517
883	0.315545273
884	0.3155363482
885	0.3155004926
886	0.3154756787
887	0.3154349166
888	0.315386472
889	0.3153403395
890	0.3153316473
891	0.3153062019
892	0.3152731421
893	0.3152266962
894	0.3151595521
895	0.3151198269
896	0.3150640672
897	0.3149917975
898	0.31497332
899	0.3149164251
900	0.3148169313
901	0.314721227
902	0.3146031613
903	0.31448564
904	0.314461833
905	0.3144008131
906	0.314352625
907	0.3143312719
908	0.3142966398
909	0.3142849545
910	0.3142566431
911	0.3141395453
912	0.3141032419
913	0.3140523659
914	0.3139617717
915	0.3138502043
916	0.3138235359
917	0.3138030968
918	0.3137691004
919	0.3137317904
920	0.3136588747
921	0.3136299201
922	0.3135864931
923	0.3135223136
924	0.31348505
925	0.3134474568
926	0.313427364
927	0.3133653466
928	0.3133457612
929	0.3133277046
930	0.3133146852
931	0.3132446424
932	0.3131364092
933	0.3130784163
934	0.3130444017
935	0.313008125
936	0.3129343414
937	0.312897948
938	0.3128389679
939	0.3127667397
940	0.3127384973
941	0.3126968796
942	0.312566931
943	0.3125069167
944	0.3124780085
945	0.3124481586
946	0.3123846746
947	0.3122802619
948	0.3121713236
949	0.3121229593
950	0.3120515127
951	0.3119715536
952	0.3118336353
953	0.3118082433
954	0.3117610476
955	0.3117388152
956	0.3116745646
957	0.3116050431
958	0.3115703064
959	0.3114789537
960	0.3114238938
961	0.311396158
962	0.3113822391
963	0.3113527088
964	0.3112424404
965	0.311180276
966	0.3111105357
967	0.3110968591
968	0.310989182
969	0.3109707613
970	0.3108618876
971	0.3108373482
972	0.3107840861
973	0.3107234778
974	0.3106835936
975	0.3106121371
976	0.3105092851
977	0.3103874338
978	0.3103687213
979	0.3103547815
980	0.31028174
981	0.3101901999
982	0.3101761895
983	0.3101475539
984	0.3101285269
985	0.3100798086
986	0.3099911971
987	0.3099713101
988	0.3099582894
989	0.3098524424
990	0.3097339178
991	0.3097113377
992	0.309661094
993	0.3096327726
994	0.309525888
995	0.3094987321
996	0.3093927442
997	0.3093688786
998	0.309308984
999	0.309257457
